SERIALNO,PUMA,PWGTP,AGEP,SCHL,SEX,WAGP,OCCP,PINCP,SOCP,HINCP,TEN,NP
2022GQ0000975,07509,52,23,21.0,2,2000.0,3050,2000.0,291051,,,1
2022GQ0001018,07512,20,85,21.0,2,0.0,,2500.0,,,,1
2022GQ0001336,07508,75,85,21.0,2,0.0,,2500.0,,,,1
2022GQ0001507,07512,59,18,18.0,1,130.0,4760,130.0,412031,,,1
2022GQ0002101,07508,14,28,21.0,2,38000.0,2012,38000.0,211022,,,1
2022GQ0002684,07513,7,35,16.0,1,21200.0,4020,21200.0,352010,,,1
2022GQ0002817,07508,4,44,11.0,2,0.0,2640,0.0,27102X,,,1
2022GQ0002853,07514,58,19,19.0,2,0.0,4720,0.0,412010,,,1
2022GQ0002974,07514,12,22,17.0,1,3800.0,7800,3800.0,513011,,,1
2022GQ0003001,07512,41,20,20.0,2,540.0,2350,540.0,253041,,,1
2022GQ0003578,07510,60,32,16.0,1,15000.0,2006,15000.0,211019,,,1
2022GQ0003595,07510,50,48,12.0,1,0.0,8450,0.0,516093,,,1
2022GQ0003961,07514,30,30,18.0,1,10000.0,2013,22000.0,211023,,,1
2022GQ0004137,07513,10,41,19.0,1,8000.0,3603,8000.0,311131,,,1
2022GQ0004309,07512,42,18,16.0,2,0.0,2016,0.0,211093,,,1
2022GQ0005234,07510,23,51,12.0,1,0.0,,11900.0,,,,1
2022GQ0005967,07514,18,56,16.0,1,0.0,,0.0,,,,1
2022GQ0006101,07509,146,69,19.0,1,60000.0,1108,60000.0,151299,,,1
2022GQ0006150,07508,31,22,19.0,1,0.0,,0.0,,,,1
2022GQ0006212,07510,73,66,19.0,2,0.0,,12000.0,,,,1
2022GQ0006335,07509,44,21,19.0,2,8500.0,0725,10500.0,131121,,,1
2022GQ0006451,07507,8,30,16.0,2,0.0,3603,0.0,311131,,,1
2022GQ0006624,07507,79,72,22.0,2,0.0,,7100.0,,,,1
2022GQ0006682,07512,31,19,18.0,2,0.0,,0.0,,,,1
2022GQ0006921,07508,59,22,19.0,1,0.0,,0.0,,,,1
2022GQ0008304,07512,53,21,19.0,2,3200.0,2205,3200.0,251000,,,1
2022GQ0008337,07511,72,65,15.0,2,0.0,,0.0,,,,1
2022GQ0008876,07508,23,22,19.0,2,0.0,4110,0.0,353031,,,1
2022GQ0009140,07512,25,36,22.0,2,65000.0,1650,65000.0,1910XX,,,1
2022GQ0009525,07509,40,64,15.0,1,0.0,,4300.0,,,,1
2022GQ0009647,07513,67,19,19.0,1,0.0,4010,0.0,351012,,,1
2022GQ0010003,07514,58,52,16.0,2,3100.0,4720,3100.0,412010,,,1
2022GQ0010105,07512,7,47,15.0,1,0.0,,11900.0,,,,1
2022GQ0010800,07509,30,52,1.0,1,0.0,,7100.0,,,,1
2022GQ0011130,07507,6,34,1.0,2,0.0,,0.0,,,,1
2022GQ0011948,07512,29,94,16.0,2,0.0,,109000.0,,,,1
2022GQ0012094,07510,94,32,16.0,1,15000.0,2006,15000.0,211019,,,1
2022GQ0012170,07510,71,64,20.0,1,0.0,9130,65000.0,533030,,,1
2022GQ0012726,07509,33,67,15.0,1,0.0,,7100.0,,,,1
2022GQ0012761,07513,11,36,19.0,2,157000.0,3500,192000.0,292061,,,1
2022GQ0013368,07510,67,34,1.0,2,0.0,,0.0,,,,1
2022GQ0013437,07514,101,69,15.0,2,0.0,,1400.0,,,,1
2022GQ0013459,07512,24,30,20.0,1,140000.0,0420,140000.0,119151,,,1
2022GQ0013507,07509,121,66,19.0,2,0.0,,12000.0,,,,1
2022GQ0014707,07510,55,94,21.0,1,0.0,,78000.0,,,,1
2022GQ0015211,07512,87,37,16.0,1,0.0,,0.0,,,,1
2022GQ0017900,07509,12,36,21.0,2,0.0,4010,3500.0,351012,,,1
2022GQ0018122,07514,49,90,23.0,1,0.0,,18000.0,,,,1
2022GQ0018152,07509,34,64,1.0,1,0.0,,2700.0,,,,1
2022GQ0018420,07507,19,44,18.0,1,140000.0,2040,140000.0,212011,,,1
2022GQ0018637,07507,67,67,23.0,2,0.0,,9400.0,,,,1
2022GQ0018839,07507,8,64,18.0,2,0.0,,0.0,,,,1
2022GQ0019016,07509,60,20,16.0,1,0.0,6442,0.0,472152,,,1
2022GQ0019767,07514,78,60,18.0,1,0.0,6305,1000.0,472070,,,1
2022GQ0019807,07514,95,27,18.0,1,15000.0,4252,15000.0,373013,,,1
2022GQ0020830,07514,96,52,20.0,2,0.0,,18200.0,,,,1
2022GQ0020856,07512,21,77,16.0,2,0.0,,12000.0,,,,1
2022GQ0021572,07509,7,23,16.0,1,0.0,,0.0,,,,1
2022GQ0021966,07514,58,30,16.0,2,0.0,3603,0.0,311131,,,1
2022GQ0022332,07509,63,59,18.0,2,0.0,,13200.0,,,,1
2022GQ0023339,07512,35,94,24.0,2,0.0,,34600.0,,,,1
2022GQ0023501,07510,18,22,17.0,1,3800.0,7800,3800.0,513011,,,1
2022GQ0023540,07510,67,30,16.0,1,1200.0,6260,6800.0,472061,,,1
2022GQ0023547,07508,67,18,16.0,2,1000.0,4110,1000.0,353031,,,1
2022GQ0023636,07508,47,27,21.0,1,0.0,3620,0.0,312020,,,1
2022GQ0023937,07508,58,18,16.0,2,0.0,,0.0,,,,1
2022GQ0024114,07511,14,54,19.0,2,0.0,,18200.0,,,,1
2022GQ0024396,07511,40,66,16.0,1,0.0,,26700.0,,,,1
2022GQ0024471,07512,9,23,21.0,2,2000.0,3050,2000.0,291051,,,1
2022GQ0024496,07512,54,89,8.0,2,0.0,,0.0,,,,1
2022GQ0024583,07510,20,28,24.0,2,60000.0,1970,60000.0,1940YY,,,1
2022GQ0025690,07514,46,80,19.0,2,0.0,,22800.0,,,,1
2022GQ0025709,07510,69,77,16.0,2,0.0,,12000.0,,,,1
2022GQ0025793,07514,33,75,16.0,1,0.0,,13000.0,,,,1
2022GQ0025839,07510,53,24,21.0,2,2500.0,3050,2500.0,291051,,,1
2022GQ0026586,07507,10,65,16.0,1,0.0,7140,28400.0,493011,,,1
2022GQ0027021,07514,79,64,18.0,2,0.0,,0.0,,,,1
2022GQ0027225,07510,134,64,15.0,1,0.0,,4300.0,,,,1
2022GQ0027720,07508,142,52,20.0,2,0.0,,18200.0,,,,1
2022GQ0029131,07514,42,18,16.0,2,880.0,2350,880.0,253041,,,1
2022GQ0029260,07508,31,53,21.0,1,6600.0,9620,6860.0,537062,,,1
2022GQ0032150,07514,67,59,17.0,2,1200.0,3602,7200.0,311122,,,1
2022GQ0032328,07510,154,23,19.0,2,35200.0,1970,35200.0,1940YY,,,1
2022GQ0032875,07511,91,69,15.0,2,0.0,,1400.0,,,,1
2022GQ0033368,07511,13,60,18.0,1,0.0,6305,1000.0,472070,,,1
2022GQ0033390,07510,55,43,20.0,1,128000.0,1305,128170.0,171011,,,1
2022GQ0033700,07512,36,94,8.0,2,0.0,,3000.0,,,,1
2022GQ0034928,07509,12,41,21.0,1,200.0,2025,7600.0,21109X,,,1
2022GQ0034934,07509,254,20,16.0,1,0.0,6442,0.0,472152,,,1
2022GQ0035080,07512,36,23,21.0,2,2000.0,3050,2000.0,291051,,,1
2022GQ0035135,07509,58,22,17.0,1,3800.0,7800,3800.0,513011,,,1
2022GQ0035531,07510,57,32,14.0,2,6200.0,4020,6200.0,352010,,,1
2022GQ0035543,07510,26,56,16.0,1,0.0,,6190.0,,,,1
2022GQ0036620,07514,15,57,12.0,1,0.0,,0.0,,,,1
2022GQ0036947,07513,27,40,16.0,1,38000.0,5310,38000.0,434111,,,1
2022GQ0037635,07510,50,42,16.0,1,0.0,,13800.0,,,,1
2022GQ0037700,07513,13,35,22.0,2,148000.0,0800,148000.0,132011,,,1
2022GQ0038017,07509,112,94,16.0,2,0.0,,22800.0,,,,1
2022GQ0038726,07508,10,21,19.0,1,0.0,6260,0.0,472061,,,1
2022GQ0038804,07513,61,18,16.0,1,300.0,2545,300.0,259040,,,1
2022GQ0039016,07508,60,18,16.0,2,0.0,2016,0.0,211093,,,1
2022GQ0039179,07512,24,72,22.0,2,0.0,,7100.0,,,,1
2022GQ0039359,07510,59,36,14.0,1,0.0,,0.0,,,,1
2022GQ0040725,07508,58,36,21.0,2,0.0,4010,3500.0,351012,,,1
2022GQ0040957,07513,84,18,18.0,2,0.0,4720,0.0,412010,,,1
2022GQ0041096,07511,24,40,16.0,1,38000.0,5310,38000.0,434111,,,1
2022GQ0042150,07512,27,24,21.0,2,1700.0,3050,1700.0,291051,,,1
2022GQ0042393,07514,6,16,14.0,2,0.0,,0.0,,,,1
2022GQ0043000,07513,25,30,18.0,1,10000.0,2013,22000.0,211023,,,1
2022GQ0043291,07507,66,78,16.0,1,0.0,,27800.0,,,,1
2022GQ0043404,07508,50,23,21.0,2,2000.0,3050,2000.0,291051,,,1
2022GQ0043843,07507,79,54,16.0,2,0.0,4600,0.0,399011,,,1
2022GQ0044060,07508,38,21,19.0,2,8500.0,0725,10500.0,131121,,,1
2022GQ0044120,07509,59,23,16.0,1,0.0,,0.0,,,,1
2022GQ0044339,07508,68,18,18.0,2,0.0,,0.0,,,,1
2022GQ0044700,07512,58,18,16.0,2,5000.0,4720,5000.0,412010,,,1
2022GQ0044894,07510,6,68,19.0,2,0.0,,0.0,,,,1
2022GQ0044924,07511,86,76,24.0,1,0.0,7340,0.0,499071,,,1
2022GQ0045307,07509,40,66,16.0,1,0.0,,26700.0,,,,1
2022GQ0045479,07511,78,24,16.0,1,28800.0,4020,28800.0,352010,,,1
2022GQ0046312,07509,26,60,18.0,1,0.0,6305,1000.0,472070,,,1
2022GQ0046386,07514,63,22,16.0,2,12000.0,4200,12000.0,371011,,,1
2022GQ0046722,07513,12,28,21.0,2,38000.0,2012,38000.0,211022,,,1
2022GQ0046893,07510,61,23,21.0,2,0.0,3640,1500.0,319091,,,1
2022GQ0047513,07510,109,89,8.0,2,0.0,,0.0,,,,1
2022GQ0047613,07510,93,30,22.0,2,0.0,5740,12000.0,436014,,,1
